id,name,generic,vendor,fda_code
273,CLE DE PEAU BEAUTE RADIANT FLUID FOUNDATION,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICAS CORPORATION,58411-203
274,Extended Phenytoin Sodium,Phenytoin Sodium,State of Florida DOH Central Pharmacy,53808-1040
275,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,Octinoxate and Titanium Dioxide,Ventura Corporation LTD,13537-243
276,Fluoxetine,Fluoxetine,Major Pharmaceuticals,0904-5785
277,Tussin Sugar Free,"Dextromethorphan Hydrobromide, GUAIFENESIN",Premier Value,68016-100
278,Reguloid,Psyllium Husks,Rugby Laboratories,0536-1875
279,Amoxicillin,Amoxicillin,A-S Medication Solutions LLC,54569-3335
280,BABOR Baborganic Crystal Face Scrub,Meadowfoam Seed Oil,"Babor Cosmetics America, Corp.",44924-010
281,RECOTHROM,Thrombin topical Recombinant,The Medicines Company,65293-007
282,anti nausea,"Dextrose (glucose), Levulose (fructose), Phosphoric Acid",Safeway,21130-291
283,SyDerm Complex,mucor racemosus and penicillium chrysogenum var. chrysogenum,Syntrion GmbH,10424-150
284,Oxygen,Oxygen,"Ablecare Medical, Inc.",63699-001
285,Naropin,ROPIVACAINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC",63323-286
286,triple antibiotic,"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl",Meijer Distribution Inc,41250-679
287,Simplicity Desensitizing,Lidocaine,"Simplicity Laser, LLC",69109-004
288,ARTHROTEC,diclofenac sodium and misoprostol,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,49999-987
289,Tretinoin,Tretinoin,Rebel Distributors Corp,21695-805
290,NAPRELAN,naproxen sodium,Bryant Ranch Prepack,63629-4146
291,WHITE CAVIAR ILLUMINATING HAND SUNSCREEN BROAD SPECTRUM SPF 15,"AVOBENZONE, HOMOSALATE, OCTINOXATE, OCTISALATE, OCTOCRYLENE","La Prairie, Inc.",68026-342
292,Softsoap Aquatic Splash Antibacterial with light Moisturizers,Benzalkonium chloride,Colgate Palmolive Company,35000-874
293,"Pollens - Weeds and Garden Plants, Goldenrod Solidago canadensis",Goldenrod Solidago canadensis,Jubilant HollisterStier LLC,65044-1630
294,Hot Flashes,"Belladonna 30c, Calc Phos 30c, Ferrum Phos 30c, Glonoine 30c, Lachesis 30c, Sanguinaria 30c Sepia 30c, Sulphur 30c",Home Sweet Homeopathics,59667-0073
295,Oxygen,Oxygen,"Matheson Tri-Gas, Inc.",55037-101
296,Propranolol Hydrochloride,Propranolol Hydrochloride,"General Injectables & Vaccines, Inc",52584-003
297,Aspergillus repens,Aspergillus repens,"Nelco Laboratories, Inc.",36987-1878
298,Soft Care Foam Antibacterial Hand Soap,Triclosan,"Johnson Diversey, Inc.",64536-3851
299,Tender Moments Baby Sunscreen Broad Spectrum SPF 50,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",JAFRA COSMETICS INTERNATIONAL,68828-177
300,Mag-AL Plus,"Aluminum Hydroxide, Magnesium Hydroxide, and Simethicone","Pharmaceutical Associates, Inc.",0121-1761
301,OXYGEN,OXYGEN,"Sims Welding Supply Co, Inc.",55586-001
302,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Cardinal Health,55154-3951
303,PredniSONE,PredniSONE,Lake Erie Medical DBA Quality Care Products LLC,35356-819
304,DIANEAL Low Calcium with Dextrose,"sodium chloride, sodium lactate, calcium chloride, magnesium chloride and dextrose",Baxter Healthcare Corporation,0941-0459
305,PVP-Iodine Sepp,povidone iodine,CareFusion 213 LLC,54365-145
306,Helium Oxygen Nitrogen mixture,Helium Oxygen Nitrogen mixture,Praxair Distribution Southeast LLC,49972-010
307,Umcka FastActives Cherry,Pelargonium sidoides,"Nature's Way Products, Inc.",53499-5347
308,PURIXAN,Purixan,"Nova Laboratories, Ltd",62484-0020
309,IROSPAN 24/6,"IRON, FOLIC ACID, VITAMIN/MINERAL SUPPLEMENT",WOMENS CHOICE PHARMACEUTICALS LLC,50967-126
310,Gas Relief,SIMETHICONE,Walgreens,0363-2242
311,Safeguard,Triclocarban,Procter & Gamble Manufacturing Company,37000-714
312,Amlodipine Besylate,AMLODIPINE BESYLATE,"Caraco Pharmaceutical Laboratories, Ltd.",57664-055
313,BETULA LENTA POLLEN,Birch White,"ALK-Abello, Inc.",0268-1072
314,Naturasil,Hypericum and Arnica Montana,"Nature's Innovation, Inc.",10893-350
315,Ziprasidone Hydrochloride,Ziprasidone Hydrochloride,Major Pharmaceuticals,0904-6272
316,INDOMETHACIN,indomethacin,"Caraco Pharmaceutical Laboratories, Ltd.",57664-120
317,Levetiracetam,levetiracetam,Accord Healthcare Inc.,16729-064
318,AHC Premium Intense Contour Balm,"Titanium Dioxide, Talc,Ethylhexyl Methoxycinnamate, Arbutin, Zinc Oxide, Methicone, Aluminum Hydroxide, Aluminum Stearate, Adenosine","Carver Korea Co.,Ltd",58930-050
319,venlafaxine,venlafaxine,NorthStar RxLLC,16714-313
320,HYDROCODONE BITARTRATE AND IBUPROFEN,HYDROCODONE BITARTRATE AND IBUPROFEN,Aidarex Pharmaceuticals LLC,33261-378
321,Ciprofloxacin,Ciprofloxacin,Claris Lifesciences Inc.,36000-030
322,LIDODERM,Lidocaine,Rebel Distributors Corp.,21695-075
323,Atenolol,Atenolol,Aurobindo Pharma Limited,65862-170
324,HAND AND NATURE SANITIZER,Alcohol,"NATURE REPUBLIC CO., LTD.",51346-236
325,Klonopin,Clonazepam,"Genentech, Inc.",0004-0068
326,CeraVe,"Titanium Dioxide, Zinc Oxide",Valeant Pharmaceuticals North America LLC,0187-2204
327,GENTAMICIN SULFATE,GENTAMICIN SULFATE,STAT RX USA LLC,16590-107
328,Choice Personal Care Cocoa Butter Scented Petroleum,White petroleum,My Import Inc,51628-3737
329,Lamotrigine,Lamotrigine,Bryant Ranch Prepack,63629-4169
330,Nora BE,Norethindrone,"Watson Pharma, Inc.",52544-629
331,Hand Sanitizer,Alcohol,McKesson,49348-405
332,SOFT AND PRECIOUS NURSERY,Petrolatum,Viny Health and Beauty Inc,76436-204
333,Aubagio,teriflunomide,Genzyme Corp.,58468-0210
334,Ketotifen Fumarate,Ketotifen Fumarate,CVS Pharmacy,59779-330
335,Citalopram,citalopram,Apotex Corp.,60505-2518
336,AZITHROMYCIN,AZITHROMYCIN,Aidarex Pharmaceuticals LLC,33261-403
337,Shellfish and Seafood Allergy Relief,"Adrenalinum, Belladonna, Bromium, Carbo animalis, Colchicum autumnale, Colocynthis, Histaminum hydrochloricum, Hydrastis canadensis, Kali carbonicum, Lycopodium clavatum, Mercurius solubilis, Pulsatilla, Urtica urens",King Bio Inc.,57955-6286
338,BACTROBAN,mupirocin calcium,GlaxoSmithKline LLC,0029-1526
339,Softlips Salted Caramel,"dimethicone, octinoxate, octisalate, oxybenzone",The Mentholatum Company,10742-8543
340,Perrigo Seb Prev,Sodium Sulfacetamide,Perrigo New York Inc,45802-954
341,Fluor-a-day,Sodium fluoride and Xylitol,"Arbor Pharmaceuticals, Inc.",24338-622
342,Natures Gate,"Octinoxate, Octisalate, Octocrylene, and Zinc Oxide",Levlad LLC,61380-264
343,Olay Fresh Effects,Salicylic Acid,Procter & Gamble Manufacturing Company,37000-315
344,Wheat Bunt,Wheat Bunt,"Nelco Laboratories, Inc.",36987-2173
345,ARTHRITIS RELIEF,"CAUSTICUM, COLCHICUM AUTUMNALE, BENZOICUM ACIDUM, APIS MELLIFICA, ARSENICUM ALBUM, ARNICA MONTANA, NATRUM CARBONICUM",HOMEOLAB USA INC.,60512-0009
346,good sense pain relief,Acetaminophen,L. Perrigo Company,0113-0130
347,Adderall,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Barr Laboratories Inc.,0555-0762
348,ActivOn Ultra Strength,Menthol,"Family First Pharmaceuticals, Inc.",51068-503
349,Callicide Corn and Callus Remover,Salicylic acid,"Menper Distributors, Inc.",53145-022
350,Benazepril Hydrochloride,Benazepril Hydrochloride,Amneal Pharmaceuticals,65162-754
351,Diltiazem Hydrochloride,diltiazem hydrochloride,Mylan Pharmaceuticals Inc.,0378-0045
352,Right Guard Sport I.S. Antiperspirant Deodorant Active,Aluminum Zirconium Trichlorohydrex Gly,The Dial Corporation,54340-187
353,up and up sinus congestion and pain,"Acetaminophen, Phenylephrine HCl",Target Corporation,11673-272
354,Vinorelbine,Vinorelbine,Pfizer Laboratories Div Pfizer Inc.,0069-0099
355,ABILIFY,ARIPIPRAZOLE,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,49999-816
356,morphine sulfate,morphine sulfate,Bryant Ranch Prepack,63629-4667
357,Peter Island Sunscreen,"HOMOSALATE, OXYBENZONE, OCTISALATE, AVOBENZONE, OCTOCRYLENE",AMWAY CORP.,50390-705
358,CENTER-AL - QUERCUS ALBA POLLEN,Allergenic Extracts Alum Precipitated,"ALK-Abello, Inc.",0268-0122
359,Dover Sudanyl PE,PHENYLEPHRINE HYDROCHLORIDE,Unifirst First Aid Corporation,47682-162
360,Acetaminophen,Acetaminophen,SUPERVALU INC.,41163-333
361,Snow Skin Sunscreen Lip Balm,"AVOBENZONE, OCTINOXATE, OCTOCRYLENE","Skin Alive, Ltd.",75916-0659
362,Temazepam,temazepam,Mylan Pharmaceuticals Inc.,0378-3120
363,LACURA,Aluminum Zirconium Tetrachlorohydrex Gly,ALDI INC,64024-969
364,Sovaldi,SOFOSBUVIR,"Gilead Sciences, Inc.",61958-1501
365,Ofloxacin,ofloxacin,Dr. Reddy's Laboratories Limited,55111-162
366,GREASEWOOD POLLEN,sarcobatus vermiculatus pollen,"Allergy Laboratories, Inc.",54575-129
367,POPULUS DELTOIDES POLLEN,Cottonwood Eastern Common,"ALK-Abello, Inc.",0268-1130
368,Panic Ease,"Aconitum nap., Apis mel., Arnica, Arsenicum alb., Belladonna, Bellis, Bryonia, Calendula, Chamomilla, Cistus canadensis, Ferrum phosphoricum, Histaminum hydrochloricum, Hypericum, Ignatia, Mezereum, Ornithogalum, Passiflora, Phosphorus, Prunus spin., Rhus toxicodendron, Sarcolacticum ac., Sulphur, Veratrum alb., Valeriana","Newton Laboratories, Inc.",55714-4626
369,Exelon,rivastigmine tartrate,"Physicians Total Care, Inc.",54868-5839
370,GloStrips,Rose Bengal Sodium,Nomax Inc.,51801-004
371,Male Formula Plus,"Avena Sativa, Carduus Marianus, Damiana, Galium Aparine,Hamamelis Virginiana, Hepar Bovine, Korean Ginseng, Nuphar Luteum Tincture",Yuen Method,55546-0001
372,Mepivacaine Hydrochloride,Mepivacaine Hydrochloride,"Hospira, Inc.",0409-7551
373,Degree for Men Power,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,64942-0819
374,Phendimetrazine Tartrate,Phendimetrazine Tartrate,"KVK-TECH, INC",10702-078
375,Psorent,COAL TAR,NeoStrata Company Inc.,58414-8960
376,Bisoprolol Fumarate and Hydrochlorothiazide,Bisoprolol Fumarate and Hydrochlorothiazide,Bryant Ranch Prepack,63629-1674
377,Toppik Womens Hair Regrowth Treatment,Minoxidil,"Spencer Forrest, Inc.",61355-569
378,Blemish,Benzoyl peroxide,Kamins Dermatologics Inc.,63550-193
379,Servo-Stat,Alcohol,"Enzyme Solutions, Inc.",76378-015
380,Sciatica - Nerve Care,"Aconitum nap., Ammonium benzoicum, Arsenicum alb., Benzoicum acidum, Bryonia, Causticum, Cinchona, Colchicum, Gnaphalium polycephalum, Iris versicolor, Kali iod., Ledum, Lithium carb., Nux vom., Phytolacca, Rhus toxicodendron, Ruta, Sambucus nig., Strychninum, Hypericum, Urtica ur.","Newton Laboratories, Inc.",55714-2296
381,PAULAS CHOICE HYDRALIGHT SHINE-FREE DAILY MINERAL COMPLEX Broad Spectrum SPF 30,"TITANIUM DIOXIDE, ZINC OXIDE","Paula's Choice, Inc",76144-000
382,HEPAR SULPH. CALC.,CALCIUM SULFIDE,Hyland's,54973-0614
383,Adrenoplex,"Echinacea (Angustifolia), Adrenalinum, Glandula suprarenalis bovine, Spleen (suis), Carduus marianus, Lycopodium clavatum,","BioActive Nutritional, Inc.",43857-0310
384,Amitriptyline Hydrochloride,Amitriptyline Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",55289-016
385,Zinc Sulfate,Zinc Sulfate,"American Regent, Inc.",0517-6110
386,Diazepam,Diazepam,American Health Packaging,68084-359
387,Ramipril,Ramipril,Cadila Healthcare Limited,65841-657
388,Ceramide Lift And Firm Makeup Broad Spectrum Sunscreen SPF 15 Mocha,OCTINOXATE and TITANIUM DIOXIDE,"Elizabeth Arden, Inc",67938-0948
389,MATTE MOISTURE TINT SUNSCREEN BROAD SPECTRUM SPF 15,ZINC OXIDE AND TITANIUM DIOXIDE,Jouer Cosmetics LLC,69017-204
390,Metronidazole,Metronidazole,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,49999-095
391,Edometriosis,"Arsenicum alb., Bryonia, Cimicifuga, Cinchona, Conium, Hydrastis, Iodium, Lachesis, Lilium, Lycopodium, Phosphorus, Pulsatilla, Rhus toxicodendron, Sabina, Secale, Sepia, Apis mel., Hamamelis","Newton Laboratories, Inc.",55714-4493
392,Dexpanthenol,Dexpanthenol,"American Regent, Inc.",0517-0131
393,MIGRAIDE,"CYCLAMEN PURPURASCENS TUBER, BLACK COHOSH, GELSEMIUM SEMPERVIRENS ROOT, IRIS VERSICOLOR ROOT, SANGUINARIA CANADENSIS ROOT",Natures Way Holding Co.,53499-2390
394,NAPROXEN,NAPROXEN,REMEDYREPACK INC.,52125-559
395,Bipolaris sorokiniana,Bipolaris sorokiniana,"Nelco Laboratories, Inc.",36987-1999
396,Antiseptic,"alcohol, benzocaine","Safetec of America, Inc.",61010-7200
397,Full Care Povidone Iodine Swabsticks,POVIDONE-IODINE,"Shaoxing Fuqing Health Products Co., Ltd.",65028-001
398,Reactice,Menthol,"Rejuventus, Inc.",75963-125
399,Clotrimazole and Betamethasone Dipropionate,CLOTRIMAZOLE and BETAMETHASONE DIPROPIONATE,Prasco Laboratories,66993-898
400,Pain Relief,Ibuprofen,P and L Development of New York Corporation,59726-167
401,Hemorrhoidal,"glycerin, phenylephrine HCl, pramoxine HCl, white petrolatum",CVS Pharmacy,59779-944
402,Australian Gold,"Avobenzone, Octocrylene, and Oxybenzone","Prime Enterprises, Inc.",58443-0029
403,Ciprofloxacin,CIPROFLOXACIN HYDROCHLORIDE,REMEDYREPACK INC.,52125-537
404,Sochlor,Sodium Chloride Hypertonicity Ophthalmic Ointment 5% Sterile,"OCuSOFT, Inc.",54799-926
405,Halobetasol Propionate,halobetasol propionate,"Physicians Total Care, Inc.",54868-4907
406,Lisinopril,Lisinopril,State of Florida DOH Central Pharmacy,53808-0888
407,CEFPROZIL,CEFPROZIL,"Physicians Total Care, Inc.",54868-5756
408,equate daytime nitetime,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",Wal-Mart Stores Inc,49035-090
409,hydrocortisone,Hydrocortisone,H E B,37808-885
410,DIPYRIDAMOLE,DIPYRIDAMOLE,"Rising Pharmaceuticals, Inc.",64980-135
411,SOLU-MEDROL,methylprednisolone sodium succinate,"US MedSource, LLC",61699-0047
412,Allergy Relief,Cetirizine HCl,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",55910-129
413,Clobetasol Propionate,Clobetasol Propionate,"Physicians Total Care, Inc.",54868-3698
414,Chamomilla,Chamomilla,"True Botanica, LLC",53645-1320
415,Pravastatin Sodium,pravastatin sodium,"Physicians Total Care, Inc.",54868-5578
416,Lucky Instant Hand Cleanser with Aloe Vera,Ethyl Alcohol,Delta Brands Inc,20276-157
417,Acetaminophen,Acetaminophen,"Physicians Total Care, Inc.",54868-3832
418,SyDerm Complex,mucor racemosus and penicillium chrysogenum var. chrysogenum,Syntrion GmbH,10424-150
419,California Black Oak,California Black Oak,"Nelco Laboratories, Inc.",36987-2837
420,Senna Laxative,Sennosides,"FRED'S, INC.",55315-298
421,Nicotine,Nicotine Polacrilex,Kroger Company,30142-422
422,SMART SENSE,"EUCALYPTOL, MENTHOL, METHYLSALICYLATE, THYMOL",KMART CORPORATION,49738-555
423,mucus relief cold and sinus,"Acetaminophen, guaifenesin, phenylephrine HCl",Western Family Foods Inc,55312-145
424,Headache Relief,"Acetaminophen, Aspirin, Caffeine",AmerisourceBergen (Good Neighbor Pharmacy) 46122,46122-248
425,DDF,"Avobenzone, Homosalate, Octisalate and Octocrylene",Procter & Gamble Manufacturing Co.,37000-710
426,Ketoconazole,Ketoconazole,Bryant Ranch Prepack,63629-1485
427,Lamotrigine,Lamotrigine,Wockhardt USA LLC.,64679-274
428,Ranitidine Hydrochloride,Ranitidine Hydrochloride,Sandoz Inc,0781-1884
429,Leg Cramp Away,"Calc phos, Mag phos, Nux vom, Rhus tox","Native Remedies, LLC",68703-088
430,good sense nicotine,Nicotine Polacrilex,L. Perrigo Company,0113-0206
431,Loratadine,Loratadine,"Innovative Manufacturing and Distribution Services, Inc.",59564-251
432,Lemon and Basil Antibacterial Foaming Hand Wash,Triclosan,"SJ Creations, Inc.",43269-829
433,Imipenem and Cilastatin,IMIPENEM and CILASTATIN SODIUM,"Hospira, Inc.",0409-3507
434,Levofloxacin,Levofloxacin,Rebel Distributors Corp,21695-027
435,FENTANYL TRANSDERMAL SYSTEM,fentanyl transdermal system,Bryant Ranch Prepack,63629-4771
436,Angelica UV Shield SPF 40,TITANIUM DIOXIDE,LABORATOIRES M&L,10345-018
437,Non Aspirin PM,"Acetaminophen, Diphenhydramine HCl","Chain Drug Consortium, LLC (Premier Value)",68016-188
438,Methylprednisolone,Methylprednisolone,Unit Dose Services,50436-4037
439,Nausea Headache,DIGITALIS,Natural Health Supply,64117-139
440,Benazepril Hydrochloride,Benazepril Hydrochloride,Bryant Ranch Prepack,63629-2679
441,PRO-SOURCE ANTIMICROBIAL HAND CLEANING WIPES,BENZALKONIUM CHLORIDE,MSC Industrial Supply,59846-681
442,Mirtazapine,Mirtazapine,"Physicians Total Care, Inc.",54868-6384
443,Irbesartan and Hydrochlorothiazide,Irbesartan and Hydrochlorothiazide,Aurobindo Pharma Limited,65862-630
444,Secret Clinical Invisible,Aluminum Zirconium Tetrachlorohydrex Gly,Procter & Gamble Manufacturing Company,37000-365
445,Bone Strengthener,"Calcarea carbonica, Calcarea fluorica, Calcarea phosphorica, Equisetum hyemale, Hekla lava, Phosphorus, silicea",King Bio Inc.,57955-0070
446,Varico HP,"Calcarea Fluorica, Activated Charcoal, Hamamelis Virginiana Root Bark / Stem Bark, Lachesis Muta Venom, Lycopodium Clavatum Spore, Pulsatilla Vulgaris, Claviceps Purpurea Sclerotium, Delphinium Staphisagrea Seed, Zinc","Natural Creations, Inc.",43406-0050
447,ATOPALM CLOTRIMAZOLE ANTIFUNGAL,CLOTRIMAZOLE,"NeoPharm Co., Ltd.",51141-1000
448,Motrin,Ibuprofen,"McNeil Consumer Healthcare Div McNeil-PPC, Inc",50580-198
449,Valium,diazepam,Cardinal Health,55154-3114
450,JUNIPERUS VIRGINIANA POLLEN,Red Cedar,"ALK-Abello, Inc.",0268-6695
451,LANOXIN,digoxin,Cardinal Health,55154-0702
452,Riax,BENZOYL PEROXIDE,"Artesa Labs, LLC",57893-304
453,Aveeno Calamine and Pramoxine Hydrochloride Anti Itch,"Ferric Oxide Red, Zinc Oxide, and Pramoxine Hydrochloride","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",58232-9911
454,Benztropine Mesylate,benztropine mesylate,REMEDYREPACK INC.,52125-073
455,Alprazolam,Alprazolam,Actavis Elizabeth LLC,0228-4025
456,Hydralazine Hydrochloride,Hydralazine Hydrochloride,A-S Medication Solutions LLC,54569-0517
457,No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Wheat,Octinoxate,Boots Retail USA Inc,68472-131
458,ARNICA MONTANA (WHOLE PLANT),WHOLE ARNICA PLANT,Remedy Makers,10191-1250
459,Nystatin and Triamcinolone Acetonide,Nystatin and Triamcinolone Acetonide,"Taro Pharmaceuticals U.S.A., Inc.",51672-1263
460,Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,A-S Medication Solutions LLC,54569-4272
461,Humphreys Baby Teething Relief Original,"matricaria recutita, arabica coffee bean, tribasic calcium phosphate","Humphreys Pharmacal, Incorporated",0219-6103
462,No7 Stay Perfect Foundation Sunscreen SPF 15,Octinoxate and Titanium Dioxide,Boots Retail USA Inc,68472-088
463,Naproxen,Naproxen,Carilion Materials Management,68151-2894
464,California Live Oak,California Live Oak,"Nelco Laboratories, Inc.",36987-2848
465,Topiramate,TOPIRAMATE,Keltman Pharmaceuticals Inc.,68387-560
466,Exuviance CoverBlend Skin Caring Foundation,TITANIUM DIOXIDE,NeoStrata Company Inc.,58414-8731
467,CITALOPRAM,CITALOPRAM,"International Labs, Inc.",54458-981
468,La Vaquita,Methyl Salicylate,Delon Laboratories (1990) Ltd,61734-091
469,Lamotrigine,Lamotrigine,"AvKARE, Inc.",42291-369
470,Escitalopram,Escitalopram,REMEDYREPACK INC.,52125-690
471,risperidone,risperidone,Cadila Healthcare Limited,65841-669
472,Lorazepam,Lorazepam,Aidarex Pharmaceuticals LLC,33261-068
473,Polytrim,polymyxin b sulfate and trimethoprim sulfate,"Allergan, Inc.",0023-7824
474,VERELAN PM,verapamil hydrochloride,Kremers Urban Pharmaceuticals Inc.,62175-572
475,SHISEIDO SHEER AND PERFECT FOUNDATION,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICAS CORPORATION,58411-103
476,sunmark,Clotrimazole,McKesson,49348-379
477,Promethazine Hydrochloride,Promethazine Hydrochloride,"Preferred Pharmaceuticals, Inc",68788-9183
478,Temazepam,Temazepam,McKesson Contract Packaging,76237-251
479,Celox Antiseptic,ALCOHOL,"Certus Medical, Inc.",75990-221
480,Vision Complex,"Aurum metallicum, Belladonna, Cactus grandiflorus, China officinalis, Conium maculatum, Curare, Gelsemium sempervirens, Phosphorus, Ruta graveolens, Veratrum album","Nova Homeopathic Therapeutics, Inc.",52731-7047
481,Sufentanil Citrate,Sufentanil Citrate,"Akorn, Inc.",17478-050
482,Lisinopril,Lisinopril,"Watson Laboratories, Inc.",0591-0409
483,DOUBLE MATTE,OCTINOXATE,Estee Lauder Inc.,11559-732
484,NATURCOKSINUM FLU RELIEF,ANAS BARBARIAE HEPATIS ET CORDIS EXTRACTUM,HOMEOLAB USA INC,60512-0006
485,Antioxidant Primer,Titanium Dioxide and Zinc Oxide,Bare Escentuals Beauty Inc.,98132-184
486,LISINOPRIL,LISINOPRIL,Camber Pharmaceuticals Inc.,31722-422
487,CS-Ovary,"Apis mellifica, Arsenicum album, Aurum iodatum, Baryta muriatica, Colocynthis, Conium maculatum, Iodium, Lachesis mutus, Lycopodium clavatum, Naja tripudians, Oophorinum, Platinum metallicum, Podophyllum peltatum",King Bio Inc.,57955-0216
488,Cephalexin,Cephalexin,STAT Rx USA LLC,42549-565
489,MINOXIDIL,minoxidil,"AvKARE, Inc.",42291-619
490,Clopidogrel Bisulfate,clopidogrel,Mylan Pharmaceuticals Inc.,0378-3627
491,Sodium Chloride,Sodium Chloride,Cardinal Health,55154-0126
492,Instant Hand Sanitizer,Alcohol,Hydrox Laboratories,10565-467
493,NITROUS OXIDE,NITROUS OXIDE,Keen Compressed Gas Co. Inc.,48273-002
494,Bacitracin Zinc and Polymyxin B Sulfate,Bacitracin Zinc and Polymyxin B Sulfate,Bausch & Lomb Incorporated,24208-555
495,Tetracycline Hydrochloride,Tetracycline Hydrochloride,STAT Rx USA LLC,16590-217
496,Fexofenadine Hydrochloride,fexofenadine hydrochloride,"PD-Rx Pharmaceuticals, Inc.",55289-957
497,Healthy Wear Powder Foundation,"Octinoxate, Titanium Dioxide, Zinc Oxide",Physicians Formula Inc,31645-151
498,TAZICEF,CEFTAZIDIME,"Hospira, Inc.",0409-5092
499,COMMON MUGWORT POLLEN,artemisia vulgaris pollen,"Allergy Laboratories, Inc.",54575-136
500,ibuprofen,Ibuprofen,Western Family Foods Inc,55312-461
501,California Live Oak,California Live Oak,"Nelco Laboratories, Inc.",36987-2850
502,Naturals,Aluminum Chlorohydrate,"Avon Products, Inc.",10096-0219
503,SOLIDAGO CANADENSIS POLLEN,Goldenrod,"ALK-Abello, Inc.",0268-1191
504,Therapeutic Plus,Coal Tar,"CVS Pharmacy, Inc",59779-826
505,Lymph Plus,"Geranium robertianum, Nasturtium aquaticum, Aloe socotrina, Juglans regia, Myosotis, arvensis, Scrophularia nodosa, Teucrium scordonia, Apis mellifica, Equisetum hyemale, Fumaria officinalis, Natrum s",Apotheca Company,57520-1046
506,JIANZE ALCOHOL PREP PAD MEDIUM,ISOPROPYL ALCOHOL,"Changzhou Jianze Sanitary Material Co., Ltd.",50666-002
507,Sexual Identity,"Ammonium muriaticum, Conium maculatum, Ignatia amara, Juglans regia, flos, Mancinella, Natrum muriaticum, Ocimum basilicum, Phosphorus, Platinum metallicum, Sepia, Staphysagria, Thuja occidentalis",King Bio Inc.,57955-1271
508,tizanidine,tizanidine,"Golden State Medical Supply, Inc.",60429-242
509,Good Sense Aspirin,Aspirin,L Perrigo Company,0113-0535
510,Trazodone Hydrochloride,Trazodone Hydrochloride,REMEDYREPACK INC.,24236-624
511,CLARINS MEN UV Protection SPF 40,TITANIUM DIOXIDE,Laboratoires Clarins S.A,58668-0351
512,Seb Prev,Sodium Sulfacetamide,Perrigo New York Inc,45802-939
513,Cefadroxil,Cefadroxil,Aurobindo Pharma Limited,65862-085
514,NARS,Octinoxate and Titanium dioxide,NARS COSMETICS,13734-013
515,LBel Paris,"Octinoxate, Octocrylene, and Oxybenzone",Ventura International LTD,14783-038
516,Equaline childrens pain and fever,Acetaminophen,Supervalu Inc,41163-314
517,Folic Acid,Folic Acid,"Blu Pharmaceuticals, LLC",24658-110
518,Fungicure,Sepia,"Alva-Amco Pharmacal Companies, Inc.",52389-126
519,Good Sense Nicotine,Nicotine Polacrilex,L. Perrigo Company,0113-8365
520,Constipation Cramps,LEAD,Natural Health Supply,64117-581
521,Synthroid,Levothyroxine Sodium,A-S Medication Solutions LLC,54569-0907
522,Arthritis Pain and Joint Relief / Soulagement De La Douleur Arthritique Et Articulaire,"Actaea spicata, Aesculus hippocastanum, Arnica montana, Bellis perennis, Bryonia, Calcarea carbonica, Calcarea fluorica, Causticum, Cimicifuga racemosa, Formicum acidum, Hypericum perforatum, Ledum palustre, Lithium carbonicum, Magnesia phosphorica, Phosphorus, Phytolacca decandra, Pulsatilla, Rhododendron chrysanthum, Rhus toxicodendron, Ruta graveolens, Salicylicum acidum, Sepia, Zincum metallicum",King Bio Inc.,57955-1804
523,HEADACHE,PAEONIA OFFICINALIS ROOT,Natural Health Supply,64117-275
524,leader nicotine,Nicotine Polacrilex,Cardinal Health,37205-987
525,CEDAX,CEFTIBUTEN DIHYDRATE,"Pernix Therapeutics, LLC",65224-804
526,Parinum 40 (Number 57),"Atropa Belladonna, Arnica Montana",Paramesh Banerji Life Sciences LLC,69152-0057
527,THYROID HP,"Barium Carbonate, Oyster Shell Calcium Carbonate, Crude, Fucus Vesiculosus, Iodine, Sodium Chloride, Pulsatilla Vulgaris, Spongia Officinalis Skeleton, Roasted, Thyroid","Natural Creations, Inc.",43406-0049
528,rizatriptan benzoate,rizatriptan benzoate,"Glenmark Generics Inc., USA",68462-468
529,SKIN ERUPTIONS,TOXICODENDRON VERNIX LEAFY TWIG,Natural Health Supply,64117-281
530,Betamethasone Dipropionate,Betamethasone Dipropionate,Rebel Distributors Corp.,21695-521
